LS 53145,BP 938.470,BH 28.540,BT 15.390,DH 64.700,DT 4.900,GT 23:33:27,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.7000
LS 53150,BP 938.450,BH 28.540,BT 15.390,DH 64.600,DT 4.900,GT 23:33:32,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.8000
LS 53155,BP 938.480,BH 28.540,BT 15.390,DH 64.500,DT 4.900,GT 23:33:37,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.8000
LS 53160,BP 938.500,BH 28.560,BT 15.380,DH 64.500,DT 4.900,GT 23:33:42,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.8000
LS 53165,BP 938.480,BH 28.550,BT 15.370,DH 64.500,DT 4.900,GT 23:33:47,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.8000
LS 53170,BP 938.530,BH 28.540,BT 15.380,DH 64.500,DT 4.900,GT 23:33:52,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.9000
LS 53175,BP 938.490,BH 28.540,BT 15.370,DH 64.500,DT 4.900,GT 23:33:57,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.9000
LS 53180,BP 938.460,BH 28.550,BT 15.360,DH 64.500,DT 4.900,GT 23:34:2,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.9000
LS 53185,BP 938.440,BH 28.560,BT 15.350,DH 64.400,DT 4.900,GT 23:34:7,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 712.9000
LS 53190,BP 938.470,BH 28.550,BT 15.350,DH 64.400,DT 4.900,GT 23:34:12,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.9000
LS 53195,BP 938.490,BH 28.560,BT 15.350,DH 64.400,DT 4.900,GT 23:34:17,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.9000
LS 53200,BP 938.470,BH 28.540,BT 15.340,DH 64.400,DT 4.900,GT 23:34:22,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.9000
LS 53205,BP 938.460,BH 28.560,BT 15.340,DH 64.400,DT 4.900,GT 23:34:27,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 713.0000
LS 53210,BP 938.490,BH 28.560,BT 15.340,DH 64.400,DT 4.900,GT 23:34:32,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 713.0000
LS 53215,BP 938.500,BH 28.550,BT 15.340,DH 64.300,DT 4.900,GT 23:34:37,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 713.0000
LS 53220,BP 938.480,BH 28.560,BT 15.320,DH 64.300,DT 4.900,GT 23:34:42,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.0000
LS 53225,BP 938.490,BH 28.560,BT 15.320,DH 64.300,DT 4.900,GT 23:34:47,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.0000
LS 53230,BP 938.490,BH 28.580,BT 15.320,DH 64.300,DT 4.900,GT 23:34:52,GD 27/3,GF 1/2,GS 10,GL 1036.984,GB 4746.402,GH 713.0000
